Days;total_vaccinations
0;200
1;27890
2;69140
3;166290
4;235100
5;300000
6;318940
7;346300
8;419070
9;510700
10;610090
11;718670
12;769400
13;813450
14;863690
15;949080
16;1083280
17;1250000
18;1351090
19;1592940
20;1625510
21;1647810
22;1824370
23;2035570
24;2260570
25;2407540
26;2538310
27;2567820
28;2819600
29;3125020
30;3585020
31;4084100
32;4601550
33;5064650
34;5241890
35;5417610
36;5975250
37;6703510
38;7443300
39;8236130
40;8280590
41;8431820
42;8443090
43;8549830
44;9203340
45;9962140
46;10775110
47;11388660
48;11665680
49;11783020
50;12346810
51;12956720
52;13593050
53;14205770
54;14745580
55;14969120
56;15865560
57;16532860
58;17181070
59;17856980
60;18556010
61;19140470
62;19340770
63;19374850
64;19693370
65;20295440
66;21122850
67;21795440
68;22348440
69;22540740
70;22606150
71;23169690
72;23963140
73;24735290
74;25545310
75;26277250
76;26543380
77;26632210
78;27361070
79;28124860
80;28947700
81;29806440
82;30567970
83;30891840
84;31001370
85;31833240
86;32788540
87;33717280
88;34728740
89;36906220
90;37952800
91;39066680
92;40315390
93;41531490
94;42128990
95;42436000
96;43627390
97;45014440
98;46427030
99;47863620
100;49276070
101;50163520
102;50764130
103;52039770
104;53448620
105;54876700
106;56410080
107;58672990
108;59312450
109;60833200
110;62193300
111;63606660
112;64914760
113;65560290
114;65907410
115;67193840
116;68602760
117;69991980
118;71376320
119;72576050
120;73263200
121;73746660
122;75007000
123;76455850
124;77425360
125;79278540
126;80826710
127;81756570
128;82259860
129;83610300
130;85204940
131;86701240
132;88268740
133;89717040
134;90703690
135;91237870
136;92699050
137;94388260
138;96088510
139;97805430
140;99433020
141;100458300
142;101031590
143;102703440
144;104437760
145;106387160
146;108268960
147;110112550
148;111302340
149;111998090
150;113794760
151;115708680
152;117940880
153;119990270
154;122097970
155;123340710
156;124101270
157;125994400
158;128185320
159;130412290
160;132811350
161;135171260
162;136730600
163;137604680
164;139782530
165;142445170
166;145074810
167;147772740
168;150562960
169;152208570
170;153151580
171;155939850
172;158672840
173;161756280
174;164783130
175;167881590
176;169837490
177;171230300
178;174122050
179;177183000
180;180522930
181;183587310
182;186743060
183;188944580
184;190525620
185;193291470
186;196631220
187;199929670
188;202936400
189;206051530
190;208182480
191;209485140
192;212067910
193;215006520
194;218113930
195;221296550
196;224324340
197;226277230
198;227606010
199;231009110
200;234024710
201;237075530
202;240090730
203;243465220
204;245729510
205;247452250
206;250655810
207;253966360
208;257330710
209;260800120
210;263904650
211;266091710
212;267541360
213;270568680
214;273878300
215;276956820
216;280358880
217;283618860
218;285725580
219;287107010
220;288959300
221;292457860
222;295812380
223;299118600
224;302422740
225;304779120
226;306435170
227;309557770
228;312920160
229;316104750
230;319231970
231;322221720
232;324180730
233;325771300
234;328545570
235;331299070
236;334042780
237;336813810
238;339515460
239;341434020
240;342689480
241;345013740
242;347256850
243;349433660
244;351668270
245;353738200
246;355158620
247;356030910
248;358252410
249;359898330
250;361846620
251;363790770
252;365761080
253;366970750
254;367635010
255;369187600
256;370680490
257;372220340
258;373839550
259;375440590
260;376344230
261;376957400
262;378358660
263;379722320
264;381006300
265;382284430
266;383487640
267;384207980
268;384441490
269;385866390
270;386952960
271;388010680
272;389069740
273;390112950
274;390628540
275;390955880
276;391908030
277;392829540
278;393756290
279;394745650
280;395728390
281;396217960
282;396524040
283;397392190
284;398275520
285;399226850
286;400192390
287;401054970
288;401547570
289;401776410
290;403311640
291;404926910
292;406757380
293;408741430
294;410827740
295;411879320
296;412513880
297;414456620
298;416524580
299;418677480
300;420601000
301;420601000
302;420601000
303;422039600
304;422350020
305;422720890
306;424206590
307;425805390
308;425805390
309;425805390
310;427682700
311;428126910
312;430245930
313;432861550
314;435584480
315;438236680
316;439871110
317;440866080
318;443744630
319;447007200
320;450457550
321;453913530
322;457291660
323;459196370
324;460344660
325;463619130
326;466824380
327;470136240
328;473648500
329;476988800
330;478896380
331;480101950
332;483305510
333;486519360
334;487341110
335;490374740
336;493438940
337;495166360
338;496072390
339;498662900
340;501323400
341;504005410
342;506532870
343;509000720
344;510278610
345;510982360
346;513139050
347;515334630
348;517472770
349;519482840
350;521506930
351;522589920
352;523083700
353;524749470
354;526351840
355;527912560
356;529415050
357;530965630
358;531835720
359;532247920
360;533653980
361;534974610
362;536214460
363;537445820
364;538662020
365;539328030
366;539634670
367;540655070
368;541555080
369;542418920
370;543278530
371;544185340
372;544697050
373;544923950
374;545700320
375;546593340
376;547495530
377;548422270
378;549486200
379;550204660
380;550548420
381;551283760
382;552243880
383;553169460
384;554081350
385;555073390
386;555777480
387;556139930
388;557004910
389;557830940
390;558543080
391;559329100
392;560176180
393;560776050
394;561077870
395;561793150
396;562429130
